setting,num_stages,num_warps,group_m,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,l2_flush,clock_level_side
s5w8g1,5,8,1,64,5,320,1280,1,3.802016019821167,3.649696111679077,0.20713938961868072,106,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.53974199295044,3,1380.0,1410.0,1365.0,1410 1410 1365 1365 1365 1365 1350 1350 1380 1380 1095 1095 1395 1395 1395 1395 1395 1395 1395 1395 1380 1380 1365 1365,694.9845,False,True,True,low
s3w8g1,3,8,1,64,5,320,1280,1,3.782863974571228,3.676896095275879,0.23347076334076097,104,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,353.85408067703247,3,1380.0,1365.0,1365.0,1365 1380 1380 1380 1380 1380 1380 1380 1380 1290 1290 1215 1215 1395 1395 1365 1365 1380 1380 1380 1380 1380 1380 1365,693.1624999999999,False,True,True,low
s2w4g1,2,4,1,64,5,320,1280,1,3.499888062477112,3.3138558864593506,0.189701504287494,114,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.9664034843445,3,1440.0,1440.0,1425.0,1440 1455 1455 1425 1425 1440 1440 1440 1440 1440 1440 1065 1065 1425 1425 1485 1485 1440 1440 1425 1425 1425 1425 1425,692.724,True,True,True,
s4w8g1,4,8,1,64,5,320,1280,1,3.8151520490646362,3.6211841106414795,0.21184783584127673,104,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,353.4463346004486,3,1365.0,1380.0,1380.0,1380 1380 1365 1365 1365 1365 1380 1380 1365 1365 885 885 1245 1245 1395 1395 1365 1365 1350 1365 1365 1365 1365 1380,691.944,False,True,True,low
s3w8g16,3,8,16,64,5,320,1280,1,3.1728320121765137,3.087615966796875,0.08801441174011024,127,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,347.81321239471436,3,1455.0,1470.0,1455.0,1470 1470 1470 1455 1455 1455 1455 1455 1455 1455 1455 1305 1305 1485 1485 1470 1470 1455 1455 1470 1470 1470 1470 1455,693.572,True,True,True,
s3w8g64,3,8,64,64,5,320,1280,1,3.2216639518737793,3.136320114135742,0.09980890668860516,123,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.4694449901581,3,1455.0,1440.0,1455.0,1440 1440 1455 1455 1455 1455 1455 1455 1455 1455 1155 1155 1395 1395 1455 1455 1455 1455 1470 1470 1455 1455 1455 1455,693.2595,True,True,True,
s2w8g1,2,8,1,64,5,320,1280,1,4.013984203338623,3.923424005508423,0.11995112044446705,99,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.4581117630005,3,1455.0,1455.0,1455.0,1455 1455 1455 1470 1470 1455 1455 1470 1470 1455 1455 1335 1335 1485 1485 1455 1455 1455 1455 1455 1455 1455 1455 1455,695.524,True,True,True,
s3w4g1,3,4,1,64,6,384,1536,1,4.404288053512573,4.255199909210205,0.3901593662652419,90,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.2752022743225,3,1387.5,1425.0,1395.0,1425 1425 1380 1380 1380 1380 1380 1380 1395 1395 795 795 1365 1365 1410 1410 1410 1410 1380 1380 1395 1395 1395 1395,692.437,False,True,True,low
s3w8g1,3,8,1,64,6,384,1536,1,4.6020801067352295,4.466815948486328,0.22550420366258078,86,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,350.5489282608032,3,1365.0,1335.0,1365.0,1335 1335 1380 1380 1380 1380 1380 1380 1380 1380 1260 1260 1260 1260 1395 1395 1365 1365 1320 1335 1335 1365 1365 1365,695.713,False,True,True,low
s2w4g1,2,4,1,64,6,384,1536,1,4.108928203582764,3.9532480239868164,0.28136197859483736,97,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,348.98604583740234,3,1425.0,1440.0,1425.0,1440 1425 1425 1425 1425 1410 1410 1425 1425 1425 1425 930 930 1395 1395 1455 1455 1470 1470 1440 1440 1425 1425 1425,696.5515,True,True,True,
s5w8g1,5,8,1,64,6,384,1536,1,4.585567951202393,4.462431907653809,0.15227431781649,85,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,350.54147243499756,3,1380.0,1365.0,1365.0,1365 1365 1380 1380 1380 1380 1395 1395 1395 1395 1050 1050 1380 1380 1395 1395 1365 1365 1320 1320 1365 1365 1365,688.876,False,True,True,low
s3w8g64,3,8,64,64,6,384,1536,1,3.863647937774658,3.7250559329986572,0.10371332857630934,102,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,350.1347191333771,3,1455.0,1485.0,1455.0,1485 1485 1455 1455 1440 1440 1440 1440 1440 1440 1200 1200 1425 1425 1470 1470 1455 1455 1455 1455 1455 1455 1455 1455,692.433,True,True,True,
s3w8g8,3,8,8,64,6,384,1536,1,3.789760112762451,3.6570560932159424,0.08045813670004139,103,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,350.84322929382324,3,1455.0,1455.0,1470.0,1455 1455 1455 1455 1470 1470 1455 1455 1470 1470 1350 1350 1425 1425 1500 1500 1440 1440 1440 1440 1455 1455 1470,687.468,True,True,True,
s4w8g1,4,8,1,64,6,384,1536,1,4.575263977050781,4.390143871307373,0.3152470534161523,87,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.9080023765564,3,1350.0,1365.0,1320.0,1365 1350 1350 1290 1290 1305 1305 1305 1305 1155 1155 1230 1230 1395 1395 1380 1380 1365 1365 1350 1350 1350 1350 1320,695.081,False,True,True,low
s2w8g1,2,8,1,64,6,384,1536,1,4.829184055328369,4.691616058349609,0.3278977491706727,82,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.30726289749146,3,1462.5,1530.0,1470.0,1530 1530 1470 1470 1455 1455 1455 1455 1455 1455 810 810 1380 1380 1455 1455 1485 1485 1470 1470 1485 1485 1470 1470,695.0699999999999,True,True,True,
